"species","yearcollected","decimalLongitude","decimalLatitude"
"Gadus morhua",2011,-64.00588,47.5704
"Gadus morhua",2011,-64.0083,47.57179
"Gadus morhua",2011,-64.01038,47.5732
"Gadus morhua",2011,-64.02037,48.00201
"Gadus morhua",2011,-64.037,48.00201
"Gadus morhua",2011,-63.59167,48.02599
"Gadus morhua",2011,-63.59322,48.03074
"Gadus morhua",2011,-63.59421,48.03381
"Gadus morhua",2011,-63.5962,48.03537
"Gadus morhua",2011,-63.5637,48.01783
"Gadus morhua",2010,-64.0101,47.58169
"Gadus morhua",2010,-64.006,47.59435
"Gadus morhua",2010,-64.00203,48.00558
"Gadus morhua",2010,-63.57384,48.03782
"Gadus morhua",2010,-63.57047,48.05876
"Gadus morhua",2010,-64.00466,48.05878
"Gadus morhua",2010,-64.12292,48.0457
"Gadus morhua",2010,-63.57824,47.58152
"Gadus morhua",2010,-63.57784,47.57973
"Gadus morhua",2010,-63.57754,47.57704
"Gadus morhua",2010,-63.55194,47.57731
"Gadus morhua",2010,-63.55072,47.5966
"Gadus morhua",2010,-63.55238,48.01733
"Gadus morhua",2010,-63.58931,48.041
"Gadus morhua",2010,-64.05979,48.03551
"Gadus morhua",2010,-64.03362,47.55097
"Gadus morhua",2010,-64.02087,47.54359
"Gadus morhua",2010,-64.27222,47.56618
"Gadus morhua",2010,-64.118,47.54257
"Gadus morhua",2010,-63.32875,47.9795
"Gadus morhua",2010,-63.76784,47.87317
"Gadus morhua",2012,-64.58875,48.09942
"Gadus morhua",2012,-63.94417,48.0955
"Gadus morhua",2012,-64.6525,47.59025
"Gadus morhua",2014,-60.61534,47.13142
"Gadus morhua",2014,-62.93225,48.47017
"Gadus morhua",2013,-62.48017,46.73275
"Gadus morhua",2011,-62.70117,46.50725
"Gadus morhua",2011,-64.08492,48.51992
"Gadus morhua",2011,-63.27984,46.95117
"Gadus morhua",2011,-63.91417,47.20325
"Gadus morhua",2011,-62.748,46.72325
"Gadus morhua",2011,-61.76409,47.68317
"Gadus morhua",2011,-64.06417,47.30267
"Gadus morhua",2011,-64.02942,48.07575
"Gadus morhua",2011,-60.80767,47.87392
"Gadus morhua",2013,-63.03608,46.531
"Gadus morhua",2013,-64.23034,47.54708
"Gadus morhua",2010,-62.18017,46.16475
"Gadus morhua",2014,-63.646,47.096
"Gadus morhua",2010,-63.75642,48.02875
"Gadus morhua",2014,-64.15534,48.279
"Gadus morhua",2011,-60.75825,47.51158
"Gadus morhua",2013,-61.501,46.20792
"Gadus morhua",2012,-62.08292,48.35633
"Gadus morhua",2014,-63.18558,47.95125
"Gadus morhua",2014,-61.7175,47.65034
"Gadus morhua",2014,-63.78217,48.02242
"Gadus morhua",2010,-60.8265,46.92617
"Gadus morhua",2010,-61.4005,47.93683
"Gadus morhua",2010,-63.719,48.30267
"Gadus morhua",2014,-60.806,47.17459
"Gadus morhua",2014,-60.62034,47.42983
